opt/step,opt/E,geom,cutoff
100032.0,-75.27971224503602,benzene_dimer_T_10.00A,transfer
100033.0,-75.30575945595508,benzene_dimer_T_10.00A,transfer
100034.0,-75.2833058544467,benzene_dimer_T_10.00A,transfer
100035.0,-75.3039743886083,benzene_dimer_T_10.00A,transfer
100036.0,-75.29522939366865,benzene_dimer_T_10.00A,transfer
100037.0,-75.32679311795071,benzene_dimer_T_10.00A,transfer
100038.0,-75.31237657119524,benzene_dimer_T_10.00A,transfer
100039.0,-75.28337074419632,benzene_dimer_T_10.00A,transfer
100040.0,-75.31533899284271,benzene_dimer_T_10.00A,transfer
100041.0,-75.29228666533419,benzene_dimer_T_10.00A,transfer
100042.0,-75.30408898070503,benzene_dimer_T_10.00A,transfer
100043.0,-75.30919886483306,benzene_dimer_T_10.00A,transfer
100044.0,-75.32668621571112,benzene_dimer_T_10.00A,transfer
100045.0,-75.31234689055273,benzene_dimer_T_10.00A,transfer
100046.0,-75.31501866007555,benzene_dimer_T_10.00A,transfer
100047.0,-75.30002714869846,benzene_dimer_T_10.00A,transfer
100048.0,-75.28509093132841,benzene_dimer_T_10.00A,transfer
100049.0,-75.29650037162665,benzene_dimer_T_10.00A,transfer
100050.0,-75.30013816003968,benzene_dimer_T_10.00A,transfer
100051.0,-75.30202894104752,benzene_dimer_T_10.00A,transfer
100052.0,-75.30654980858523,benzene_dimer_T_10.00A,transfer
100053.0,-75.31563744557229,benzene_dimer_T_10.00A,transfer
100054.0,-75.31786580373975,benzene_dimer_T_10.00A,transfer
100055.0,-75.3021931753812,benzene_dimer_T_10.00A,transfer
100056.0,-75.31220235630747,benzene_dimer_T_10.00A,transfer
100057.0,-75.31197547662184,benzene_dimer_T_10.00A,transfer
100058.0,-75.33635506125515,benzene_dimer_T_10.00A,transfer
100059.0,-75.30311001488724,benzene_dimer_T_10.00A,transfer
100060.0,-75.31512742456256,benzene_dimer_T_10.00A,transfer
100061.0,-75.30445955904945,benzene_dimer_T_10.00A,transfer
100062.0,-75.30698211528212,benzene_dimer_T_10.00A,transfer
100063.0,-75.3016281868257,benzene_dimer_T_10.00A,transfer
100064.0,-75.3193479333745,benzene_dimer_T_10.00A,transfer
100065.0,-75.31657372891993,benzene_dimer_T_10.00A,transfer
100066.0,-75.31202007863715,benzene_dimer_T_10.00A,transfer
100067.0,-75.32455531841484,benzene_dimer_T_10.00A,transfer
100068.0,-75.3331810831394,benzene_dimer_T_10.00A,transfer
100069.0,-75.32428542540545,benzene_dimer_T_10.00A,transfer
100070.0,-75.32303995749206,benzene_dimer_T_10.00A,transfer
100071.0,-75.30744565590447,benzene_dimer_T_10.00A,transfer
100072.0,-75.32555684242581,benzene_dimer_T_10.00A,transfer
100073.0,-75.32396283726345,benzene_dimer_T_10.00A,transfer
100074.0,-75.29847733785309,benzene_dimer_T_10.00A,transfer
100075.0,-75.29821363603938,benzene_dimer_T_10.00A,transfer
100076.0,-75.32177154324523,benzene_dimer_T_10.00A,transfer
100077.0,-75.33216170544274,benzene_dimer_T_10.00A,transfer
100078.0,-75.32526506610672,benzene_dimer_T_10.00A,transfer
100079.0,-75.30687413979281,benzene_dimer_T_10.00A,transfer
100080.0,-75.31487747769144,benzene_dimer_T_10.00A,transfer
100081.0,-75.32097126917813,benzene_dimer_T_10.00A,transfer
100082.0,-75.32810812530411,benzene_dimer_T_10.00A,transfer
100083.0,-75.33122805156772,benzene_dimer_T_10.00A,transfer
100084.0,-75.32815682640079,benzene_dimer_T_10.00A,transfer
100085.0,-75.2898222762123,benzene_dimer_T_10.00A,transfer
100086.0,-75.3205660914387,benzene_dimer_T_10.00A,transfer
100087.0,-75.31403017367325,benzene_dimer_T_10.00A,transfer
100088.0,-75.30548021156416,benzene_dimer_T_10.00A,transfer
100089.0,-75.30144222102079,benzene_dimer_T_10.00A,transfer
100090.0,-75.30533652750816,benzene_dimer_T_10.00A,transfer
100091.0,-75.3458636658563,benzene_dimer_T_10.00A,transfer
100092.0,-75.30092408810526,benzene_dimer_T_10.00A,transfer
100093.0,-75.29421341438272,benzene_dimer_T_10.00A,transfer
100094.0,-75.30160376911209,benzene_dimer_T_10.00A,transfer
100095.0,-75.32023302872884,benzene_dimer_T_10.00A,transfer
100096.0,-75.3171345725165,benzene_dimer_T_10.00A,transfer
100097.0,-75.31513611257915,benzene_dimer_T_10.00A,transfer
100098.0,-75.3250054551432,benzene_dimer_T_10.00A,transfer
100099.0,-75.29991855067547,benzene_dimer_T_10.00A,transfer
100100.0,-75.32320396316706,benzene_dimer_T_10.00A,transfer
100101.0,-75.30391518697229,benzene_dimer_T_10.00A,transfer
100102.0,-75.32098020678245,benzene_dimer_T_10.00A,transfer
100103.0,-75.3145519857869,benzene_dimer_T_10.00A,transfer
100104.0,-75.32649180858397,benzene_dimer_T_10.00A,transfer
100105.0,-75.30463115533571,benzene_dimer_T_10.00A,transfer
100106.0,-75.2837517471347,benzene_dimer_T_10.00A,transfer
100107.0,-75.3199003454227,benzene_dimer_T_10.00A,transfer
100108.0,-75.32069245593274,benzene_dimer_T_10.00A,transfer
100109.0,-75.32525758414867,benzene_dimer_T_10.00A,transfer
100110.0,-75.30274012025319,benzene_dimer_T_10.00A,transfer
100111.0,-75.31564450827734,benzene_dimer_T_10.00A,transfer
100112.0,-75.32145504740612,benzene_dimer_T_10.00A,transfer
100113.0,-75.30749287595845,benzene_dimer_T_10.00A,transfer
100114.0,-75.3101185817419,benzene_dimer_T_10.00A,transfer
100115.0,-75.3198644618615,benzene_dimer_T_10.00A,transfer
100116.0,-75.33190176514918,benzene_dimer_T_10.00A,transfer
100117.0,-75.32326744642076,benzene_dimer_T_10.00A,transfer
100118.0,-75.32843517430763,benzene_dimer_T_10.00A,transfer
100119.0,-75.33323616971353,benzene_dimer_T_10.00A,transfer
100120.0,-75.32809522370624,benzene_dimer_T_10.00A,transfer
100121.0,-75.33007243004292,benzene_dimer_T_10.00A,transfer
100122.0,-75.32097787654416,benzene_dimer_T_10.00A,transfer
100123.0,-75.30506685792683,benzene_dimer_T_10.00A,transfer
100124.0,-75.28967503843077,benzene_dimer_T_10.00A,transfer
100125.0,-75.31569425913253,benzene_dimer_T_10.00A,transfer
100126.0,-75.31857115722114,benzene_dimer_T_10.00A,transfer
100127.0,-75.30863986723959,benzene_dimer_T_10.00A,transfer
100128.0,-75.31332842243624,benzene_dimer_T_10.00A,transfer
100129.0,-75.33037415074162,benzene_dimer_T_10.00A,transfer
100130.0,-75.32574458759562,benzene_dimer_T_10.00A,transfer
100131.0,-75.33939845304585,benzene_dimer_T_10.00A,transfer
100132.0,-75.32276945121319,benzene_dimer_T_10.00A,transfer
100133.0,-75.33091475247731,benzene_dimer_T_10.00A,transfer
100134.0,-75.33193151735185,benzene_dimer_T_10.00A,transfer
100135.0,-75.31447442244158,benzene_dimer_T_10.00A,transfer
100136.0,-75.30988803965363,benzene_dimer_T_10.00A,transfer
100137.0,-75.30843669976133,benzene_dimer_T_10.00A,transfer
100138.0,-75.33205221156253,benzene_dimer_T_10.00A,transfer
100139.0,-75.2994674976458,benzene_dimer_T_10.00A,transfer
100140.0,-75.31198727375744,benzene_dimer_T_10.00A,transfer
100141.0,-75.32311772699526,benzene_dimer_T_10.00A,transfer
100142.0,-75.32537195655905,benzene_dimer_T_10.00A,transfer
100143.0,-75.30079810039636,benzene_dimer_T_10.00A,transfer
100144.0,-75.31983158700277,benzene_dimer_T_10.00A,transfer
100145.0,-75.31555936813022,benzene_dimer_T_10.00A,transfer
100146.0,-75.29466939554129,benzene_dimer_T_10.00A,transfer
100147.0,-75.33280062643524,benzene_dimer_T_10.00A,transfer
100148.0,-75.31700608835197,benzene_dimer_T_10.00A,transfer
100149.0,-75.314196145283,benzene_dimer_T_10.00A,transfer
100150.0,-75.32146424524842,benzene_dimer_T_10.00A,transfer
100151.0,-75.32076606638357,benzene_dimer_T_10.00A,transfer
100152.0,-75.30683525114219,benzene_dimer_T_10.00A,transfer
100153.0,-75.31474304729632,benzene_dimer_T_10.00A,transfer
100154.0,-75.3246937321073,benzene_dimer_T_10.00A,transfer
100155.0,-75.28163512732141,benzene_dimer_T_10.00A,transfer
100156.0,-75.30315795464799,benzene_dimer_T_10.00A,transfer
100157.0,-75.3314765915195,benzene_dimer_T_10.00A,transfer
100158.0,-75.32108835594136,benzene_dimer_T_10.00A,transfer
100159.0,-75.31120532860919,benzene_dimer_T_10.00A,transfer
100160.0,-75.30971738768883,benzene_dimer_T_10.00A,transfer
100161.0,-75.31125132095463,benzene_dimer_T_10.00A,transfer
100162.0,-75.32793250406253,benzene_dimer_T_10.00A,transfer
100163.0,-75.31576659662962,benzene_dimer_T_10.00A,transfer
100164.0,-75.32975540753077,benzene_dimer_T_10.00A,transfer
100165.0,-75.31818822367573,benzene_dimer_T_10.00A,transfer
100166.0,-75.34407046652294,benzene_dimer_T_10.00A,transfer
100167.0,-75.30915673939857,benzene_dimer_T_10.00A,transfer
100168.0,-75.32116349439357,benzene_dimer_T_10.00A,transfer
100169.0,-75.31437415111054,benzene_dimer_T_10.00A,transfer
100170.0,-75.29922554697238,benzene_dimer_T_10.00A,transfer
100171.0,-75.34205275821604,benzene_dimer_T_10.00A,transfer
100172.0,-75.32617827496016,benzene_dimer_T_10.00A,transfer
100173.0,-75.30975299854781,benzene_dimer_T_10.00A,transfer
100174.0,-75.30569416150652,benzene_dimer_T_10.00A,transfer
100175.0,-75.31294397829186,benzene_dimer_T_10.00A,transfer
100176.0,-75.30850033336465,benzene_dimer_T_10.00A,transfer
100177.0,-75.32407802852097,benzene_dimer_T_10.00A,transfer
100178.0,-75.32808006348321,benzene_dimer_T_10.00A,transfer
100179.0,-75.3246902593969,benzene_dimer_T_10.00A,transfer
100180.0,-75.30999955721147,benzene_dimer_T_10.00A,transfer
100181.0,-75.33437490058917,benzene_dimer_T_10.00A,transfer
100182.0,-75.31237445969876,benzene_dimer_T_10.00A,transfer
100183.0,-75.31683893049296,benzene_dimer_T_10.00A,transfer
100184.0,-75.31258788814793,benzene_dimer_T_10.00A,transfer
100185.0,-75.33506937228553,benzene_dimer_T_10.00A,transfer
100186.0,-75.2866207379802,benzene_dimer_T_10.00A,transfer
100187.0,-75.32780122552992,benzene_dimer_T_10.00A,transfer
100188.0,-75.33043737131642,benzene_dimer_T_10.00A,transfer
100189.0,-75.33089178129826,benzene_dimer_T_10.00A,transfer
100190.0,-75.33382800599766,benzene_dimer_T_10.00A,transfer
100191.0,-75.31939257100765,benzene_dimer_T_10.00A,transfer
100192.0,-75.28088034170098,benzene_dimer_T_10.00A,transfer
100193.0,-75.27634107862103,benzene_dimer_T_10.00A,transfer
100194.0,-75.3246878242807,benzene_dimer_T_10.00A,transfer
100195.0,-75.3064216853949,benzene_dimer_T_10.00A,transfer
100196.0,-75.3331552296643,benzene_dimer_T_10.00A,transfer
100197.0,-75.32447073570209,benzene_dimer_T_10.00A,transfer
100198.0,-75.32429214606717,benzene_dimer_T_10.00A,transfer
100199.0,-75.31428727175859,benzene_dimer_T_10.00A,transfer
100200.0,-75.31627031256943,benzene_dimer_T_10.00A,transfer
100201.0,-75.3190680667981,benzene_dimer_T_10.00A,transfer
100202.0,-75.321452101423,benzene_dimer_T_10.00A,transfer
100203.0,-75.3352304481505,benzene_dimer_T_10.00A,transfer
100204.0,-75.32061312999394,benzene_dimer_T_10.00A,transfer
100205.0,-75.32037683128198,benzene_dimer_T_10.00A,transfer
100206.0,-75.29459985033826,benzene_dimer_T_10.00A,transfer
100207.0,-75.2991956074613,benzene_dimer_T_10.00A,transfer
100208.0,-75.32456147228436,benzene_dimer_T_10.00A,transfer
100209.0,-75.32408259139612,benzene_dimer_T_10.00A,transfer
100210.0,-75.32342666172346,benzene_dimer_T_10.00A,transfer
100211.0,-75.31557704115879,benzene_dimer_T_10.00A,transfer
100212.0,-75.31832078516675,benzene_dimer_T_10.00A,transfer
100213.0,-75.31862917395989,benzene_dimer_T_10.00A,transfer
100214.0,-75.31368063314686,benzene_dimer_T_10.00A,transfer
100215.0,-75.31121487290821,benzene_dimer_T_10.00A,transfer
100216.0,-75.32074593314121,benzene_dimer_T_10.00A,transfer
100217.0,-75.32767152380165,benzene_dimer_T_10.00A,transfer
100218.0,-75.29190321595553,benzene_dimer_T_10.00A,transfer
100219.0,-75.36154872322861,benzene_dimer_T_10.00A,transfer
100220.0,-75.30091767560862,benzene_dimer_T_10.00A,transfer
100221.0,-75.323178492559,benzene_dimer_T_10.00A,transfer
100222.0,-75.33189573999219,benzene_dimer_T_10.00A,transfer
100223.0,-75.30167918853077,benzene_dimer_T_10.00A,transfer
100224.0,-75.31899746679971,benzene_dimer_T_10.00A,transfer
100225.0,-75.30698232781728,benzene_dimer_T_10.00A,transfer
100226.0,-75.33164809162847,benzene_dimer_T_10.00A,transfer
100227.0,-75.31234682549368,benzene_dimer_T_10.00A,transfer
100228.0,-75.31601661494406,benzene_dimer_T_10.00A,transfer
100229.0,-75.30949034137531,benzene_dimer_T_10.00A,transfer
100230.0,-75.31321191735952,benzene_dimer_T_10.00A,transfer
100231.0,-75.32979977190655,benzene_dimer_T_10.00A,transfer
100232.0,-75.3251361838556,benzene_dimer_T_10.00A,transfer
100233.0,-75.3164822951267,benzene_dimer_T_10.00A,transfer
100234.0,-75.32580722072089,benzene_dimer_T_10.00A,transfer
100235.0,-75.30670898261639,benzene_dimer_T_10.00A,transfer
100236.0,-75.33997912898909,benzene_dimer_T_10.00A,transfer
100237.0,-75.29447425245867,benzene_dimer_T_10.00A,transfer
100238.0,-75.32174503632228,benzene_dimer_T_10.00A,transfer
100239.0,-75.32037987147199,benzene_dimer_T_10.00A,transfer
100240.0,-75.34506940616436,benzene_dimer_T_10.00A,transfer
100241.0,-75.29312011561777,benzene_dimer_T_10.00A,transfer
100242.0,-75.31192885817426,benzene_dimer_T_10.00A,transfer
100243.0,-75.33180423243871,benzene_dimer_T_10.00A,transfer
100244.0,-75.3241077142732,benzene_dimer_T_10.00A,transfer
100245.0,-75.32188005857499,benzene_dimer_T_10.00A,transfer
100246.0,-75.31051845529198,benzene_dimer_T_10.00A,transfer
100247.0,-75.32180697461516,benzene_dimer_T_10.00A,transfer
100248.0,-75.31910696693733,benzene_dimer_T_10.00A,transfer
100249.0,-75.30281230579229,benzene_dimer_T_10.00A,transfer
100250.0,-75.32107911384031,benzene_dimer_T_10.00A,transfer
100251.0,-75.31635917298503,benzene_dimer_T_10.00A,transfer
100252.0,-75.31392722192335,benzene_dimer_T_10.00A,transfer
100253.0,-75.31982479393291,benzene_dimer_T_10.00A,transfer
100254.0,-75.346241212747,benzene_dimer_T_10.00A,transfer
100255.0,-75.31622304461621,benzene_dimer_T_10.00A,transfer
100256.0,-75.32206189267603,benzene_dimer_T_10.00A,transfer
100257.0,-75.31924995394999,benzene_dimer_T_10.00A,transfer
100258.0,-75.3101468538382,benzene_dimer_T_10.00A,transfer
100259.0,-75.31323773797496,benzene_dimer_T_10.00A,transfer
100260.0,-75.2897742864341,benzene_dimer_T_10.00A,transfer
100261.0,-75.31482256727946,benzene_dimer_T_10.00A,transfer
100262.0,-75.32571041175265,benzene_dimer_T_10.00A,transfer
100263.0,-75.33498513419975,benzene_dimer_T_10.00A,transfer
100264.0,-75.31902594589823,benzene_dimer_T_10.00A,transfer
100265.0,-75.31558315595143,benzene_dimer_T_10.00A,transfer
100266.0,-75.31312718691203,benzene_dimer_T_10.00A,transfer
100267.0,-75.32316218010155,benzene_dimer_T_10.00A,transfer
100268.0,-75.32783301544684,benzene_dimer_T_10.00A,transfer
100269.0,-75.31859105767037,benzene_dimer_T_10.00A,transfer
100270.0,-75.33495295896884,benzene_dimer_T_10.00A,transfer
100271.0,-75.33298199923891,benzene_dimer_T_10.00A,transfer
100272.0,-75.32282173881953,benzene_dimer_T_10.00A,transfer
100273.0,-75.33500223812175,benzene_dimer_T_10.00A,transfer
100274.0,-75.33360848079026,benzene_dimer_T_10.00A,transfer
100275.0,-75.33157645033535,benzene_dimer_T_10.00A,transfer
100276.0,-75.31750765210381,benzene_dimer_T_10.00A,transfer
100277.0,-75.28577003954138,benzene_dimer_T_10.00A,transfer
100278.0,-75.28814185814521,benzene_dimer_T_10.00A,transfer
100279.0,-75.33010636711923,benzene_dimer_T_10.00A,transfer
100280.0,-75.36620272841412,benzene_dimer_T_10.00A,transfer
100281.0,-75.33730290642634,benzene_dimer_T_10.00A,transfer
100282.0,-75.3120570018691,benzene_dimer_T_10.00A,transfer
100283.0,-75.30972956491334,benzene_dimer_T_10.00A,transfer
100284.0,-75.31446249206222,benzene_dimer_T_10.00A,transfer
100285.0,-75.32220762611652,benzene_dimer_T_10.00A,transfer
100286.0,-75.33492428175771,benzene_dimer_T_10.00A,transfer
100287.0,-75.32613683647116,benzene_dimer_T_10.00A,transfer
100288.0,-75.30419726442841,benzene_dimer_T_10.00A,transfer
100289.0,-75.31925658050604,benzene_dimer_T_10.00A,transfer
100290.0,-75.31993726009505,benzene_dimer_T_10.00A,transfer
100291.0,-75.30046139180706,benzene_dimer_T_10.00A,transfer
100292.0,-75.31570019735668,benzene_dimer_T_10.00A,transfer
100293.0,-75.3148276003954,benzene_dimer_T_10.00A,transfer
100294.0,-75.32124284215868,benzene_dimer_T_10.00A,transfer
100295.0,-75.32780882754906,benzene_dimer_T_10.00A,transfer
100296.0,-75.3223759201381,benzene_dimer_T_10.00A,transfer
100297.0,-75.32352116031232,benzene_dimer_T_10.00A,transfer
100298.0,-75.30430207939654,benzene_dimer_T_10.00A,transfer
100299.0,-75.33358848800219,benzene_dimer_T_10.00A,transfer
100300.0,-75.31074074029608,benzene_dimer_T_10.00A,transfer
100301.0,-75.33736830625524,benzene_dimer_T_10.00A,transfer
100302.0,-75.31831006239725,benzene_dimer_T_10.00A,transfer
100303.0,-75.32678216398307,benzene_dimer_T_10.00A,transfer
100304.0,-75.30575625544066,benzene_dimer_T_10.00A,transfer
100305.0,-75.30794208904277,benzene_dimer_T_10.00A,transfer
100306.0,-75.36527276205646,benzene_dimer_T_10.00A,transfer
100307.0,-75.32622605244556,benzene_dimer_T_10.00A,transfer
100308.0,-75.33014713115294,benzene_dimer_T_10.00A,transfer
100309.0,-75.31933010654981,benzene_dimer_T_10.00A,transfer
100310.0,-75.31658410031605,benzene_dimer_T_10.00A,transfer
100311.0,-75.32154243839983,benzene_dimer_T_10.00A,transfer
100312.0,-75.31744747066335,benzene_dimer_T_10.00A,transfer
100313.0,-75.31948485589695,benzene_dimer_T_10.00A,transfer
100314.0,-75.34052635541008,benzene_dimer_T_10.00A,transfer
100315.0,-75.31475759280288,benzene_dimer_T_10.00A,transfer
100316.0,-75.30677399646822,benzene_dimer_T_10.00A,transfer
100317.0,-75.31889259097048,benzene_dimer_T_10.00A,transfer
100318.0,-75.3239736059333,benzene_dimer_T_10.00A,transfer
100319.0,-75.32350803902449,benzene_dimer_T_10.00A,transfer
100320.0,-75.3110237394871,benzene_dimer_T_10.00A,transfer
100321.0,-75.31870644914189,benzene_dimer_T_10.00A,transfer
100322.0,-75.32642153124615,benzene_dimer_T_10.00A,transfer
100323.0,-75.33566746713875,benzene_dimer_T_10.00A,transfer
100324.0,-75.3091187414775,benzene_dimer_T_10.00A,transfer
100325.0,-75.30293752124436,benzene_dimer_T_10.00A,transfer
100326.0,-75.30534376035166,benzene_dimer_T_10.00A,transfer
100327.0,-75.32654665695267,benzene_dimer_T_10.00A,transfer
100328.0,-75.3306741024617,benzene_dimer_T_10.00A,transfer
100329.0,-75.32635697057219,benzene_dimer_T_10.00A,transfer
100330.0,-75.32956761822473,benzene_dimer_T_10.00A,transfer
100331.0,-75.30999775456257,benzene_dimer_T_10.00A,transfer
100332.0,-75.32879616257367,benzene_dimer_T_10.00A,transfer
100333.0,-75.3289935748444,benzene_dimer_T_10.00A,transfer
100334.0,-75.33335480369226,benzene_dimer_T_10.00A,transfer
100335.0,-75.34061825669579,benzene_dimer_T_10.00A,transfer
100336.0,-75.3442453099041,benzene_dimer_T_10.00A,transfer
100337.0,-75.33285003957984,benzene_dimer_T_10.00A,transfer
100338.0,-75.3164268672951,benzene_dimer_T_10.00A,transfer
100339.0,-75.31666519932222,benzene_dimer_T_10.00A,transfer
100340.0,-75.29584224372411,benzene_dimer_T_10.00A,transfer
100341.0,-75.31474597758746,benzene_dimer_T_10.00A,transfer
100342.0,-75.31565156520772,benzene_dimer_T_10.00A,transfer
100343.0,-75.33352366772883,benzene_dimer_T_10.00A,transfer
100344.0,-75.32518796085384,benzene_dimer_T_10.00A,transfer
100345.0,-75.29938504470609,benzene_dimer_T_10.00A,transfer
100346.0,-75.31838911045594,benzene_dimer_T_10.00A,transfer
100347.0,-75.31632720933926,benzene_dimer_T_10.00A,transfer
100348.0,-75.3252333905501,benzene_dimer_T_10.00A,transfer
100349.0,-75.32104353519696,benzene_dimer_T_10.00A,transfer
100350.0,-75.33079560172993,benzene_dimer_T_10.00A,transfer
100351.0,-75.33057829412482,benzene_dimer_T_10.00A,transfer
100352.0,-75.34115316935083,benzene_dimer_T_10.00A,transfer
100353.0,-75.322838150255,benzene_dimer_T_10.00A,transfer
100354.0,-75.31749651509277,benzene_dimer_T_10.00A,transfer
100355.0,-75.33675894037519,benzene_dimer_T_10.00A,transfer
100356.0,-75.32996975985242,benzene_dimer_T_10.00A,transfer
100357.0,-75.33939674653236,benzene_dimer_T_10.00A,transfer
100358.0,-75.32595077359275,benzene_dimer_T_10.00A,transfer
100359.0,-75.32144078445228,benzene_dimer_T_10.00A,transfer
100360.0,-75.32356447090515,benzene_dimer_T_10.00A,transfer
100361.0,-75.33704924056143,benzene_dimer_T_10.00A,transfer
100362.0,-75.30898484645124,benzene_dimer_T_10.00A,transfer
100363.0,-75.30962779995477,benzene_dimer_T_10.00A,transfer
100364.0,-75.34202166836346,benzene_dimer_T_10.00A,transfer
100365.0,-75.3242781475866,benzene_dimer_T_10.00A,transfer
100366.0,-75.34049470370347,benzene_dimer_T_10.00A,transfer
100367.0,-75.29086231104188,benzene_dimer_T_10.00A,transfer
100368.0,-75.32390570145861,benzene_dimer_T_10.00A,transfer
100369.0,-75.31384178531962,benzene_dimer_T_10.00A,transfer
100370.0,-75.3464557473549,benzene_dimer_T_10.00A,transfer
100371.0,-75.3124539840964,benzene_dimer_T_10.00A,transfer
100372.0,-75.30871559329121,benzene_dimer_T_10.00A,transfer
100373.0,-75.32769510118524,benzene_dimer_T_10.00A,transfer
100374.0,-75.33039625670921,benzene_dimer_T_10.00A,transfer
100375.0,-75.34251447600468,benzene_dimer_T_10.00A,transfer
100376.0,-75.32918992532615,benzene_dimer_T_10.00A,transfer
100377.0,-75.32898649069168,benzene_dimer_T_10.00A,transfer
100378.0,-75.33422745788089,benzene_dimer_T_10.00A,transfer
100379.0,-75.33587754705594,benzene_dimer_T_10.00A,transfer
100380.0,-75.33116738232783,benzene_dimer_T_10.00A,transfer
100381.0,-75.34528162604566,benzene_dimer_T_10.00A,transfer
100382.0,-75.3502833174673,benzene_dimer_T_10.00A,transfer
100383.0,-75.32232346845541,benzene_dimer_T_10.00A,transfer
100384.0,-75.3481002819639,benzene_dimer_T_10.00A,transfer
100385.0,-75.32569394241696,benzene_dimer_T_10.00A,transfer
100386.0,-75.30869669686575,benzene_dimer_T_10.00A,transfer
100387.0,-75.30784699386052,benzene_dimer_T_10.00A,transfer
100388.0,-75.30698225458184,benzene_dimer_T_10.00A,transfer
100389.0,-75.32970202888896,benzene_dimer_T_10.00A,transfer
100390.0,-75.33264749565659,benzene_dimer_T_10.00A,transfer
100391.0,-75.33660011689204,benzene_dimer_T_10.00A,transfer
100392.0,-75.31142365819879,benzene_dimer_T_10.00A,transfer
100393.0,-75.301899360133,benzene_dimer_T_10.00A,transfer
100394.0,-75.32575290579999,benzene_dimer_T_10.00A,transfer
100395.0,-75.32260680700877,benzene_dimer_T_10.00A,transfer
100396.0,-75.34107966558614,benzene_dimer_T_10.00A,transfer
100397.0,-75.30061359302124,benzene_dimer_T_10.00A,transfer
100398.0,-75.32055397505003,benzene_dimer_T_10.00A,transfer
100399.0,-75.31907540105242,benzene_dimer_T_10.00A,transfer
100400.0,-75.32546440650165,benzene_dimer_T_10.00A,transfer
100401.0,-75.33989685884617,benzene_dimer_T_10.00A,transfer
100402.0,-75.32266896296517,benzene_dimer_T_10.00A,transfer
100403.0,-75.33854067951955,benzene_dimer_T_10.00A,transfer
100404.0,-75.32521819956273,benzene_dimer_T_10.00A,transfer
100405.0,-75.31858168932348,benzene_dimer_T_10.00A,transfer
100406.0,-75.31761481091647,benzene_dimer_T_10.00A,transfer
100407.0,-75.31846537124287,benzene_dimer_T_10.00A,transfer
100408.0,-75.30439968595661,benzene_dimer_T_10.00A,transfer
100409.0,-75.33230416200817,benzene_dimer_T_10.00A,transfer
100410.0,-75.32040623083611,benzene_dimer_T_10.00A,transfer
100411.0,-75.30160621846807,benzene_dimer_T_10.00A,transfer
100412.0,-75.3313473082436,benzene_dimer_T_10.00A,transfer
100413.0,-75.32374046595956,benzene_dimer_T_10.00A,transfer
100414.0,-75.32986760521064,benzene_dimer_T_10.00A,transfer
100415.0,-75.32859202626574,benzene_dimer_T_10.00A,transfer
100416.0,-75.30852668933899,benzene_dimer_T_10.00A,transfer
100417.0,-75.32644456793983,benzene_dimer_T_10.00A,transfer
100418.0,-75.32489068898445,benzene_dimer_T_10.00A,transfer
100419.0,-75.32480772919757,benzene_dimer_T_10.00A,transfer
100420.0,-75.32466967862578,benzene_dimer_T_10.00A,transfer
100421.0,-75.32329986236002,benzene_dimer_T_10.00A,transfer
100422.0,-75.31897906847745,benzene_dimer_T_10.00A,transfer
