comment,method,basis_set,E_final
02_Formic_acid_dimer,MP2,aug-cc-pVDZ,-378.678587256197
01_Water_dimer_Dissociated,PBE0 CCSD(T),cc-pVQZ,-152.718460425189
02_Formic_acid_dimer,MP2,aug-cc-pVTZ,-379.00020258298
02_Formic_acid_dimer_Dissociated,HF,cc-pVTZ,-377.675315995562
02_Formic_acid_dimer,HF,aug-cc-pV5Z,-377.736845098256
03_Formamide_dimer_Dissociated,CCSD(T),cc-pVDZ,-338.927417060309
01_Water_dimer,HF,cc-pVTZ,-152.12095528671
01_Water_dimer,MP2,aug-cc-pVDZ,-152.529947282965
02_Formic_acid_dimer_Dissociated,MP2,aug-cc-pVDZ,-378.649075127573
03_Formamide_dimer,MP2,aug-cc-pVTZ,-339.265955727971
01_Water_dimer,CCSDT,cc-pVTZ,-152.673959533649
01_Water_dimer_Dissociated,HF,aug-cc-pVQZ,-152.131648774683
01_Water_dimer,HF,aug-cc-pV5Z,-152.139944787653
02_Formic_acid_dimer,HF,aug-cc-pVDZ,-377.613230340322
03_Formamide_dimer_Dissociated,CCSD(T),cc-pVTZ,-339.281518211586
01_Water_dimer,PBE0 CCSD(T),cc-pVDZ,-152.492737656028
01_Water_dimer_Dissociated,HF,aug-cc-pVTZ,-152.120899302732
03_Formamide_dimer_Dissociated,MP2,aug-cc-pVDZ,-338.946873398853
01_Water_dimer,CCSD(T),cc-pVTZ,-152.673821605966
01_Water_dimer_Dissociated,PBE0 CCSD(T),cc-pVDZ,-152.481490176964
01_Water_dimer,MP2,cc-pVDZ,-152.46871180883
02_Formic_acid_dimer,UHF,aug-cc-pVQZ,-377.731184737441
01_Water_dimer,CCSD(T),aug-cc-pVQZ,-152.735281249937
01_Water_dimer,MP2,cc-pVTZ,-152.646981627054
02_Formic_acid_dimer,UHF MP2,aug-cc-pVTZ,-379.000202578786
02_Formic_acid_dimer,CCSD(T),aug-cc-pVTZ,-379.062246601845
02_Formic_acid_dimer_Dissociated,HF,cc-pVDZ,-377.556861238562
01_Water_dimer_Dissociated,CCSDT,cc-pVDZ,-152.482535808106
01_Water_dimer,MP2,cc-pVQZ,-152.704031068037
01_Water_dimer_Dissociated,MP2,cc-pVTZ,-152.637297796344
01_Water_dimer_Dissociated,HF,cc-pVTZ,-152.114002046958
02_Formic_acid_dimer,MP2,aug-cc-pVQZ,-379.107325393002
01_Water_dimer_Dissociated,CCSDT,cc-pVTZ,-152.66457407461
01_Water_dimer,MP2,aug-cc-pVQZ,-152.711921235699
01_Water_dimer,MP2,aug-cc-pVTZ,-152.666169982959
01_Water_dimer,MP2,cc-pV5Z,-152.725355499771
01_Water_dimer,NEVPT2,cc-pVTZ,-152.638141999891
02_Formic_acid_dimer_Dissociated,CCSD(T),cc-pVTZ,-378.999556334497
01_Water_dimer_Dissociated,HF,aug-cc-pVDZ,-152.08257796202
02_Formic_acid_dimer_Dissociated,CCSD(T),aug-cc-pVDZ,-378.707730872773
03_Formamide_dimer,CCSD(T),cc-pVDZ,-338.956025874647
01_Water_dimer,MP2,aug-cc-pV5Z,-152.728447637706
02_Formic_acid_dimer,HF,cc-pVDZ,-377.586255193287
01_Water_dimer_Dissociated,CCSD(T),aug-cc-pVTZ,-152.68466321119
01_Water_dimer,CCSD(T),cc-pVQZ,-152.728219642465
02_Formic_acid_dimer_Dissociated,UHF,aug-cc-pVTZ,-377.682020204849
02_Formic_acid_dimer_Dissociated,CCSD(T),cc-pVDZ,-378.613051253158
01_Water_dimer,CCSDT,cc-pVDZ,-152.49376809376
01_Water_dimer_Dissociated,MP2,cc-pVQZ,-152.695279500431
03_Formamide_dimer_Dissociated,MP2,aug-cc-pVTZ,-339.240194803765
02_Formic_acid_dimer_Dissociated,MP2,aug-cc-pVTZ,-378.969886772208
01_Water_dimer,HF,cc-pVQZ,-152.135519680276
